Category,SubCategory,Name,Description,Variant,Price,DietType,Tags,Available
WRAPS,,Fiery Chicken Wrap,,,₹279,non-veg,,TRUE
WRAPS,,Kolkata Style Egg Wrap,,,₹249,non-veg,,TRUE
WRAPS,,Kolkata Style Chicken Wrap,,,₹299,non-veg,,TRUE
WRAPS,,Tikka Wrap,,Paneer / Chicken,₹279,both,,TRUE
WRAPS,,Quesadilla,,Veg / Chicken,₹329 / ₹389,both,,TRUE
WRAPS,,Mexican Burrito Wrap,,Veg / Chicken,₹299 / ₹349,both,,TRUE
WRAPS,,Regular Veg Wrap,,,₹249,veg,,TRUE
BAO BUNS,Fusion Baos,Original Crispy Chicken Bao,2 pcs,,₹389,non-veg,popular,TRUE
BAO BUNS,Fusion Baos,Cafreal Bao,,Paneer / Chicken,₹179 / ₹199,both,,TRUE
BAO BUNS,Fusion Baos,Peri Peri Bao,,Veg / Chicken,₹179 / ₹199,both,,TRUE
BAO BUNS,Fusion Baos,Tandoori Bao,,Paneer / Chicken,₹179 / ₹199,both,,TRUE
BAO BUNS,Fusion Baos,Butter Masala Bao,,Paneer / Chicken,₹179 / ₹199,both,,TRUE
BAO BUNS,Fusion Baos,Original Crispy Veg Bao,2 pcs,,₹349,veg,popular,TRUE
BAO BUNS,Oriental Baos,Teriyaki Bao,,Paneer / Chicken,₹199,both,,TRUE
BAO BUNS,Oriental Baos,Chilli Basil Bao,,Veg / Paneer / Chicken,₹179 / ₹199,both,,TRUE
BAO BUNS,Oriental Baos,Hot Garlic Bao,,Veg / Paneer / Chicken,₹179 / ₹199,both,,TRUE
BAO BUNS,Oriental Baos,Schezwan Bao,,Veg / Paneer / Chicken,₹179 / ₹199,both,,TRUE
BAO BUNS,Oriental Baos,Manchurian Bao,,Veg / Paneer / Chicken,₹179 / ₹199,both,,TRUE
SANDWICHES,,Classic Club,,Veg / Chicken,₹269 / ₹299,both,,TRUE
SANDWICHES,,Tikka Sandwich,,Paneer / Chicken,₹299,both,,TRUE
SANDWICHES,,Bombay Masala Sandwich,,,₹239,veg,,TRUE
BURGERS,,Chef's Special Chicken Burger,,,₹399,non-veg,chef,TRUE
BURGERS,,Fiery Chicken Burger,,,₹399,non-veg,,TRUE
BURGERS,,Mutton Burger,,,₹499,non-veg,,TRUE
BURGERS,,Double Cheese Burger,,Veg / Chicken,₹299 / ₹339,both,,TRUE
PIZZAS,,Cajun Chicken Pizza,"Cajun chicken, Mexican sauce, roasted garlic, chilli flakes, jalapeños & mushrooms",,₹499,non-veg,,TRUE
PIZZAS,,Tikka Pizza,,Paneer / Chicken,₹469,both,,TRUE
PIZZAS,,Chettinad Pizza,,Veg / Chicken,₹439 / ₹469,both,,TRUE
PIZZAS,,Italian Margherita,,,₹419,veg,,TRUE
PIZZAS,,Farm Fresh Veg,,,₹439,veg,,TRUE
PIZZAS,,Paneer & Corn,,,₹469,veg,,TRUE
PIZZAS,,Genovese Pizza,"Pesto sauce, olive oil, tomato & fresh basil leaves",,₹459,veg,,TRUE
PIZZAS,,Fungi Boscaiola Pizza,"Mushrooms, thyme, black pepper and cheese sauce",,₹479,veg,,TRUE
PASTA,,Alfredo,,Veg / Chicken,₹329 / ₹379,both,,TRUE
PASTA,,Arrabiata,,Veg / Chicken,₹329 / ₹379,both,,TRUE
PASTA,,Creole (Mix Sauce),,Veg / Chicken,₹329 / ₹379,both,,TRUE
PASTA,,Mac n Cheese,,Veg / Chicken,₹359 / ₹399,both,,TRUE
PASTA,,Aglio Olio,,Veg / Chicken / Shrimp,₹339 / ₹359 / ₹469,both,,TRUE
PASTA,,Creamy Pesto Pasta,,Veg / Chicken,₹379 / ₹399,both,,TRUE
